name: AMD FirePro 2270 (ATI FireGL), vendor: 1002, model: 68F2
name: AMD FirePro 2270, vendor: 1002, model: 68F2
name: AMD FirePro 2460, vendor: 1002, model: 68F1
name: AMD FirePro A300 Series (FireGL V) Graphics Adapter, vendor: 1002, model: 9906
name: AMD FirePro A300 Series (FireGL V) Graphics Adapter, vendor: 1002, model: 9906
name: AMD FirePro R5000 (FireGL V), vendor: 1002, model: 6809
name: AMD FirePro S10000 (FireGL V), vendor: 1002, model: 678A
name: AMD FirePro S7000 (FireGL V), vendor: 1002, model: 6808
name: AMD FirePro S9000 (FireGL V), vendor: 1002, model: 678A
name: AMD FirePro V3900 (ATI FireGL), vendor: 1002, model: 674A
name: AMD FirePro V4900 (FireGL V), vendor: 1002, model: 6749
name: AMD FirePro V5900 (FireGL V), vendor: 1002, model: 6707
name: AMD FirePro V7900 (FireGL V), vendor: 1002, model: 6704
name: AMD FirePro W5000 (FireGL V), vendor: 1002, model: 6809
name: AMD FirePro W600, vendor: 1002, model: 6828
name: AMD FirePro W7000 (FireGL V), vendor: 1002, model: 6808
name: AMD FirePro W8000 (FireGL V), vendor: 1002, model: 678A
name: AMD FirePro W9000 (FireGL V), vendor: 1002, model: 6780
name: AMD FireStream 9350, vendor: 1002, model: 688D
name: AMD FireStream 9350, vendor: 1002, model: 688D
name: AMD FireStream 9370, vendor: 1002, model: 688C
name: AMD FireStream 9370, vendor: 1002, model: 688C
name: AMD Mobility Radeon HD 5000 Series, vendor: 1002, model: 68C1
name: AMD Mobility Radeon HD 5000 Series, vendor: 1002, model: 68E0
name: AMD Mobility Radeon HD 5000 Series, vendor: 1002, model: 68E1
name: AMD Mobility Radeon HD 5000, vendor: 1002, model: 68C0
name: AMD Mobility Radeon HD 5570, vendor: 1002, model: 68C7
name: AMD Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A0
name: AMD Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A1
name: AMD Radeon (TM) HD 8500M/8700M, vendor: 1002, model: 6601
name: AMD Radeon (TM) HD8530M, vendor: 1002, model: 6607
name: AMD Radeon 6600M and 6700M Series, vendor: 1002, model: 6741
name: AMD Radeon 6600M and 6700M Series, vendor: 1002, model: 6741
name: AMD Radeon E6460, vendor: 1002, model: 6763
name: AMD Radeon E6460, vendor: 1002, model: 6763
name: AMD Radeon E6760, vendor: 1002, model: 6743
name: AMD Radeon E8860, vendor: 1002, model: 6822
name: AMD Radeon HD 5450, vendor: 1002, model: 68E4
